"title","author","journal","year","vol","page","place"
"联总物资华竟成了政治武器","求思","民主(上海)","1946","第40期","1007-1010","上海"
"关于驻军的见闻(吴江通讯)","戾野","民主(上海)","1946","第17期","453","上海"
"常熟的形形色色(通讯)","民盾","民主(上海)","1946","第16期","420-421","上海"
"西北纪实","东衣","民主(上海)","1946","第45期","1132-1134","上海"
"“拖”的结果是什么","鄭振铎","民主(上海)","1946","第39期","1页，970-971","上海"
"一周大事表(三十五年七月一日至十日)","民主(上海)","1946","第39期","991-992",NA,"上海"
"忆费巩教授","以中","民主(上海)","1946","第30期","755-756","上海"
"遭难前后(七)","景宋","民主(上海)","1946","第16期","427-429","上海"
"为吁请政策释放费巩教授并取消组织:敬告社会士书(来件)","民主(上海)","1946","第16期","432-433",NA,"上海"
"欧洲政治的转形斯","梁纯夫","民主(上海)","1946","第37期","931-932","上海"
"陪都各界庆祝政治协商议成功大会告全国胞书(来件)","民主(上海)","1946","第18期","482",NA,"上海"
"一周大事表(三十五年八月十四日至二十日)","民主(上海)","1946","第45期","1135",NA,"上海"
"每周时事述评:内战全面化的展开了","念青","民主(上海)","1946","第45期","1118-1120","上海"
"为学校收费及教师待遇等问题:告各界书(来件)","民主(上海)","1946","第16期","433-434",NA,"上海"
"美国人笔下的边区的劳动英雄(三)","求思","民主(上海)","1946","第35期","887-888","上海"
"人民好像仍然生活地侵略者的铁蹄下:附图","周建人","民主(上海)","1946","第23期","586-588","上海"
"孔学总批判(上)","蔡尚思","民主(上海)","1946","第21/22期","560-566","上海"
"从袁项城说起","克士","民主(上海)","1946","第19期","493-494","上海"
"汇率放长何用?","鄭森禹","民主(上海)","1946","第45期","1123","上海"
"协商末次大会通过各案全文(续完)","民主(上海)","1946","第19期","505-507",NA,"上海"
"向谁呼吁(杭州通讯)","俞平清","民主(上海)","1946","第13期","329","上海"
"论中国美苏关系与中国前途","鄭振铎","民主(上海)","1946","第21/22期","540-544","上海"
"道义的懦怯:战后我国外交的检讨","稽古","民主(上海)","1946","第21/22期","546-549","上海"
"上海市公用事业职工会联谊会，关于电力公司职工流血事件各界宣言(来件)","民主(上海)","1946","第19期","503-504",NA,"上海"
"上海杂志界联谊会，为抗议当局非法禁“消息周刊”向各界宣言","民主(上海)","1946","第36期","915",NA,"上海"
"抗议暴徒欧打我们的代表","周建人","民主(上海)","1946","第37期","921-922","上海"
"一周大事表(三十五年八月七日至十三日)","民主(上海)","1946","第44期","1112",NA,"上海"
"每周时事述评:是谁拒绝和平?","念青","民主(上海)","1946","第43期","1068-1069","上海"
"论文化杀戮","吴晗","民主(上海)","1946","第44期","1095","上海"
"黑色恐怖的昆明","李何林","民主(上海)","1946","第45期","1128-1131","上海"
"杜鲁门应负中国内战的责任","求思","民主(上海)","1946","第37期","925","上海"
"美国干涉与中国内争","哈里逊·福门 君羊","民主(上海)","1946","第36期","905-907","上海"
"关于“警员警管区制”","马叙倫","民主(上海)","1946","第31期","770-775","上海"
"“无名肿毒”的病根(每周时事述评)","念青","民主(上海)","1946","第38期","945-946","上海"
"美国兵在中国干什么?","求思","民主(上海)","1946","第29期","733-734","上海"
"实施民主宪政应由选举开始","新武","民主(上海)","1946","第14期","347-348","上海"
"论美国的独占资本","方治平","民主(上海)","1946","第49期","1223-1224","上海"
"郁逹夫的流亡和失踪:给全国文艺界协会报告书(中)","胡愈之","民主(上海)","1946","第49期","1225-1228","上海"
"评华士的外交政策演说","施復亮","民主(上海)","1946","第49期","1218-1220","上海"
"一周大事表(三十五年九月十一日至十七日)(补十日)","民主(上海)","1946","第49期","1231",NA,"上海"
"华莱士的政治立场","董秋斯","民主(上海)","1946","第49期","1228","上海"
"论学生运动","许傑","民主(上海)","1946","第24期","611-613","上海"
"一个浅近的道理","周建人","民主(上海)","1946","第35期","880-883","上海"
"言论自由与言论立场","子午","民主(上海)","1946","第27期","683-685","上海"
"谁有仲裁权?","景宋","民主(上海)","1946","第35期","872-873","上海"
"中国现势图:[图]","方皇绘","民主(上海)","1946","第36期","900","上海"
"转移时局的两个力量","吴耀宗","民主(上海)","1946","第35期","867-868","上海"
"关于目前时局看法","周建人","民主(上海)","1946","第35期","868","上海"
"关于目前时局的意见","寒松","民主(上海)","1946","第35期","869","上海"
"掌握起自己的命运:每周时事述评","念青","民主(上海)","1946","第36期","898-899","上海"
"上海人","景宋","民主(上海)","1945","第3期","82-83","上海"
"昆明“民主周刊社”来信","民主(上海)","1945","第10期","242",NA,"上海"
"从残废兵士说起","克士","民主(上海)","1945","第9期","203-204","上海"
"遭难前后","景宋","民主(上海)","1945","第10期","232-233","上海"
"嗜学风气大学义务讲座及平民图书馆","李玄伯","民主(上海)","1945","第11期","251-253","上海"
"民瘼:物价问题特辑","张凤举","民主(上海)","1945","第5期","116-118","上海"
"收复区的三个现象","柳蕴","民主(上海)","1945","第8期","195","上海"
"读“黄花”","景宋","民主(上海)","1945","第8期","191","上海"
"迎马歇尔特使","炎火","民主(上海)","1945","第11期","249-250","上海"
"立法执法与玩法","娄立齐","民主(上海)","1945","第9期","210-212","上海"
"漫谈一党尃政","克士","民主(上海)","1945","第12期","285-286","上海"
"待解乎?自解乎:[图]","蒲崗","民主(上海)","1945","第11期","266","上海"
"展开艺术运动","程及","民主(上海)","1945","第10期","230-231","上海"
"“一二一”惨案实录:附照片","民主(上海)","1945","第11期","257-259",NA,"上海"
"思想解放","马叙伦","民主(上海)","1945","创刊号","7-8","上海"
"诗三章:梦之余、心诉、秋空","梅湜","民主(上海)","1945","第9期","214","上海"
"联合国胜利万岁:[图]","刘鐵华","民主(上海)","1945","第3期","77","上海"
"论中国的澈底个人主义","周建人","民主(上海)","1945","第7期","160-161","上海"
"东南亚洲的动荡与世界和平:附图","鄭振铎","民主(上海)","1945","第4期","94-96","上海"
"太平洋战争大事记(三)","董秋斯","民主(上海)","1945","第12期","300-301","上海"
"物价平抑识小","李玄伯","民主(上海)","1945","第5期","121","上海"
"论实业救国","董秋斯","民主(上海)","1945","第4期","109-110","上海"
"赖伐尔的后悔:[图]","亚槐","民主(上海)","1945","第8期","177","上海"
"读史杂志","尊闻","民主(上海)","1945","第6期","145","上海"
"炮竹声前的顺民(无锡通讯)","直心","民主(上海)","1945","第11期","267","上海"
"侦察:[图]","刘鐵华","民主(上海)","1945","第3期","74","上海"
"人为的涨价与人为的抑价","鄭振铎","民主(上海)","1945","第5期","119-120","上海"
"也算呼吁","叶圣陶","民主(上海)","1945","第5期","117-118","上海"
"韬奋的流亡生活(三):附照片","杨明","民主(上海)","1945","第5期","130-131","上海"
"胜利的感想","耀羣","民主(上海)","1945","创刊号","17-19","上海"
"读教练官:注意目标是什么","李兆安","民主(上海)","1945","第9期","200","上海"
"俄罗斯性格","托尔斯泰 罗稷南","民主(上海)","1945","第10期","236-240","上海"
"中华与光华","翁文灝","民主(上海)","1945","第7期","156-157","上海"
"肃奸与民主运动","许傑","民主(上海)","1945","创刊号","4-5","上海"
"昆明学潮述评","尊聞","民主(上海)","1945","第10期","226","上海"
"为什么内战?","杨作雨","民主(上海)","1945","第8期","194-195","上海"
"教育前进之路","杨宗億","民主(上海)","1945","第11期","255-256","上海"
"双十颂","天顽","民主(上海)","1945","创刊号","9","上海"
"中国的实用主义害:附图","周建人","民主(上海)","1945","第4期","99-101","上海"
"美国报纸论中国内战问题","秋斯","民主(上海)","1945","第7期","162-163","上海"
"日本国民之再教育","鄭振铎","民主(上海)","1945","第3期","65-66","上海"
"国共会谈的收获","尊闻","民主(上海)","1945","第3期","67-69","上海"
"学生会也要“接收”","一学生","民主(上海)","1945","第12期","290-291","上海"
"人民的愿望","以君","民主(上海)","1945","第8期","182","上海"
"人民需要的是什么","史笃","民主(上海)","1945","第8期","183-184","上海"
"论历史行进的方向","克士","民主(上海)","1945","第8期","189-190","上海"
"陋巷所见","辛笛","民主(上海)","1945","第8期","187-188","上海"
"敏感，错觉和麻木","蓝光","民主(上海)","1945","第6期","144-145","上海"
"大事记","民主(上海)","1945","第4期","111",NA,"上海"
"全国同胞负责建国","振寰","民主(上海)","1945","创刊号","20","上海"
"英雄的双手:[诗歌]","浩泓","时与文","1947","第6期","13","上海"
"成都:青年党的“大本营”","陈纳","时与文","1947","第17期","18","上海"
"论所谓“各党派退出学校”","楚图南","时与文","1947","第14期","5-6","上海"
"记昆明助学运动","顾回","时与文","1947","第2卷 第10期","20","上海"
"返魂有术:[漫画]","人之初","时与文","1947","第2卷 第1期","2","上海"
"读者之声:国营事业领导涨价","王可平","时与文","1947","第17期","24","上海"
"上行下效:[漫画]","穆企","时与文","1947","第13期","2","上海"
"读者之声:牛头不对马嘴","董化之","时与文","1947","第20期","23","上海"
"道德与饥饿","尹行六","时与文","1947","第19期","11","上海"
"关于男女分校","碧遥","时与文","1947","第7期","12-13","上海"
"浙大校友学生被捕案","幼翀","时与文","1947","第2卷 第9期","16-17","上海"
"水涨船不高:[漫画]","石东","时与文","1947","第8期","9","上海"
"开放日本贸易的政治意义","费正","时与文","1947","第2卷 第5期","5-7","上海"
"通货膨胀对财政的影响","伍丹戈","时与文","1947","第2卷 第13期","5-7","上海"
"记成都抢米风潮","陈纳","时与文","1947","第11期","19","上海"
"浙大被捕学生校友公审记","席人","时与文","1947","第2卷 第12期","19-20","上海"
"读者之声:张院长的谈话漏掉一段","金逖","时与文","1947","第18期","24","上海"
"是谁破坏了社会秩序?","吉人","时与文","1947","第12期","6","上海"
"艺文广播:F·望·霭覃原著鲁迅翻译的“小约翰”……","L","时与文","1947","第21期","19","上海"
"第一届全国木刻展览会佳作选辑:介绍第一届全国木展:苗民的酧神舞、倾听新闻:[木刻二幅]","黄永玉 朱鸣冈","时与文","1947","第4期","11","上海"
"大佛拜几拜，小佛踢一脚:[漫画]","黛英","时与文","1947","第2卷 第7期","2","上海"
"音乐界的“第三种人”","金颖","时与文","1947","第2卷 第4期","22","上海"
"为十万元而折腰:[漫画]","黛英","时与文","1947","第24期","2","上海"
"艺术形式的变革","陈曙风","时与文","1947","第2期","3-4","上海"
"“我在六十岁以前”马叙伦著","郝史","时与文","1947","第21期","20","上海"
"法国乐坛动态","平凡","时与文","1947","第21期","20","上海"
"士的束缚及其解放","何若钧","时与文","1947","第24期","5-7","上海"
"上海杂志界联合宣言:上海各杂志社鉴于过去缺乏连系……","时与文","1947","第2卷 第14期","20",NA,"上海"
"中国往那里去?","徐季明","时与文","1947","第2卷 第15期","6-8","上海"
"读者之声:打倒学历制度","吴家滨","时与文","1947","第2卷 第1期","29","上海"
"读者之声:万元大钞及铜元","徐朴敬","时与文","1947","第14期","22","上海"
"新政财与旧财政","伍丹戈","时与文","1947","第7期","10-11","上海"
"读者之声:湖南二三事","欧石","时与文","1947","第2卷 第13期","2","上海"
"欧洲的苦难与新生","陶大镛","时与文","1947","第2卷 第15期","3-5","上海"
"两条路","樊弘","时与文","1947","第2卷 第3期","3-4","上海"
"今日的捷克","殷怀远","时与文","1947","第12期","5-6","上海"
"吊俞颂华先生","德明","时与文","1947","第2卷 第6期","21","上海"
"错误的“看法”与反动的“对策”:关于“民主国际”的论争","施复亮","时与文","1947","第23期","3-7","上海"
"读者之声:胡适的“方向”","老迂","时与文","1947","第2卷 第2期","28","上海"
"读者之声:孙副主席指摘苏联·求援美国","时与文","1947","第16期","21",NA,"上海"
"墓碑:(一)一贩狗者日必杀狗逾千……:[漫画多幅]","余所亚","时与文","1947","第12期","16","上海"
"“五四”在北平","辛扬火","时与文","1947","第10期","15-16","上海"
"读者之声:东北官吏每月贪污款项可办九十五所著名大学","嘉文","时与文","1947","第2卷 第9期","2","上海"
"从民主政治的条件说到来日和谈","程桯","时与文","1947","第5期","6-7","上海"
"北平的浪潮","凌华","时与文","1947","第2卷 第10期","16-18","上海"
"流亡:[木刻]","董荡平","时与文","1947","第21期","2","上海"
"十年来政府威信的丧失:“七七”纪念日在北平师范大学和平社团的讲演词","樊弘","时与文","1947","第19期","10-11","上海"
"评“青青河边草”","易文","时与文","1947","第24期","20","上海"
"弦外组曲","金颖","时与文","1947","第2卷 第7期","21","上海"
"读者之声:请另辟“读者与编者”栏","时与文","1947","第21期","23",NA,"上海"
"北国风光:[漫画]","树之","时与文","1947","第9期","8","上海"
"闻一多的一生:序“闻一多的道路”","吴晗","时与文","1947","第6期","12-13","上海"
"市场与消费者:[漫画]","叶苗","时与文","1947","第7期","8","上海"
"外交部印:[漫画]","方成","时与文","1947","第23期","2","上海"
"读者之声:政府何以开放对日贸易?","林朋","时与文","1947","第23期","21-22","上海"
"台北二周记","胡帝","时与文","1947","第3期","11-13","上海"
"夜读散记","雍蒲足","时与文","1947","第3期","14-16","上海"
"我好像到了一个鬼世界:[诗词]","穆木天","时与文","1947","第3期","17","上海"
"今日美国(四)","曾昭抡","时与文","1947","第13期","15-17","上海"
"论莫斯科会议","张明养","时与文","1947","第1期","15-17","上海"
"小市民狂想曲:[漫画]","叶苗","时与文","1947","第11期","10","上海"
"魏德迈报告之谜","程桯","时与文","1947","第2卷 第8期","3-5","上海"
"读者之声:救济物资原来是救已物资!","思粤","时与文","1947","第2卷 第9期","2","上海"
"法国的经济困难(附表)","郭森麒","时与文","1947","第2卷 第7期","8-10","上海"
"大学教授精神的堕落","向晓","时与文","1947","第2卷 第9期","6-7","上海"
"“慢点，先讲好……”:[漫画]","黛英","时与文","1947","第2卷 第1期","2","上海"
"“假凤虚凰”观后","容方","时与文","1947","第2卷 第1期","28","上海"
"北平一场武剧:党团未合并·先火并","辛莘","时与文","1947","第2卷 第5期","18-19","上海"
"“鲁迅传”序","景宋","时与文","1947","第2卷 第6期","19","上海"
"读者之声:动员可“总”动员不可","李之显","时与文","1947","第18期","24","上海"
"战局与政局","萧遥","时与文","1947","第18期","3-6","上海"
"星海先生二三事","金颖","时与文","1947","第2卷 第8期","22-23","上海"
"马歇尔:“滚你妈的蛋，让老子好好地做黄梁梦吧”!:[漫画]","黛英","时与文","1947","第2卷 第5期","2","上海"
"关于“闻一多的道路”","史靖","时与文","1947","第2卷 第5期","20-21","上海"
"星洲华侨庆祝双十节的一场风波","郑明礼","时与文","1947","第2卷 第6期","17","上海"
"读者之声:对帝国主义国家没有友谊可言","姚海峰","时与文","1947","第2卷 第6期","24","上海"
"读者之声:张东荪氏责杨光时君引错了话","张东荪","时与文","1947","第2卷 第3期","24","上海"
"世界先生是靠“左”走的:[漫画]","黛英","时与文","1947","第2卷 第4期","2","上海"
"马歇尔计划与中国和平","樊弘","时与文","1947","第17期","7-8","上海"
"台湾政治运动的由来与内幕","余景文","时与文","1947","第15期","9-11","上海"
"杂文二题:“大选花絮”","商翼","时与文","1947","第2卷 第14期","11","上海"
"杂文二题:影子","商翼","时与文","1947","第2卷 第14期","11-13","上海"
"准奴隶的新装束:[漫画]","人之初","时与文","1947","第2卷 第1期","2","上海"
"读者之声:严禁自杀!","曹永辉","时与文","1947","第2卷 第1期","29","上海"
"读者之声:上海恐要成为今年的秋都","范琪","时与文","1947","第18期","24","上海"
"读者之声:重庆已成谣言之城","江流","时与文","1947","第24期","22","上海"
"孤立的斗士:关于“萧红小传”","霍然","时与文","1947","第23期","18","上海"
"不是天府的天府(特约重庆通讯)","兰枻","时与文","1947","第24期","13-14","上海"
"印尼民族解放运动","郭钟曦","时与文","1947","第20期","6-8","上海"
"党化教育的破产","许杰","时与文","1947","第19期","15-17","上海"
"低气压中心在南京","皇甫炎","时与文","1947","第19期","17","上海"
"读者之声:福建活埋“土匪”","契之","时与文","1947","第2卷 第4期","24","上海"
"经济新形势","林沧白","时与文","1947","第2卷 第14期","2-3","上海"
"请选我一票，请选我一票:[漫画]","方成","时与文","1947","第2卷 第12期","9","上海"
"“闻一多的道路”:史靖著，生活书店出版","陆舟","时与文","1947","第20期","20","上海"
"小评坛:“相濡以沫”","蝟","时与文","1947","第21期","19","上海"
"读者之声: “访苏三月记”拟出单行本","陆朝华","时与文","1947","第2卷 第1期","30","上海"
"第一届全国木刻展览会佳作选辑:介绍第一届全国木展:征兵大员到了村里:[木刻]","阿杨","时与文","1947","第4期","11","上海"
"现阶段中国之政治与教育","周谷城","时与文","1947","第6期","2-4","上海"
"第一届全国木刻展览会佳作选辑:介绍第一届全国木展:水车:[木刻]","立熹","时与文","1947","第4期","11","上海"
"读者之声:被封报馆切勿出卖自己!","娄水芹","时与文","1947","第24期","21","上海"
"寓言二题:人道主义·暴徒·大麻袋","时与文","1947","第3期","19",NA,"上海"
"空白","凤子","时与文","1947","第23期","17","上海"
"美国·日本·中国","尹其文","时与文","1947","第23期","6-7","上海"
"魏德迈在北平","李一荣","时与文","1947","第24期","12","上海"
"经济前途还能乐观吗?","张西超","时与文","1947","第9期","9-10","上海"
"宋阳与语文改革","焦煤","时与文","1947","第2卷 第1期","10","上海"
"三头六臂的大漫画家:库克利尼克希","石东","时与文","1947","第20期","21","上海"
"英国经济危机的剖视","费正","时与文","1947","第2卷 第1期","7-8","上海"
"动荡中的广东","陈微子","时与文","1947","第2卷 第1期","20-22","上海"
"征借国外存款之商榷","赵凤喈","时与文","1947","第6期","7-8","上海"
"今日张家口:塞外五日行之二","胡笛","时与文","1947","第7期","18-19","上海"
"“中国之命运”:[漫画]","穆企","时与文","1947","第4期","8","上海"
"呼吸英雄的气息:纪念罗斯福总统逝世二周年","陈石铭","时与文","1947","第5期","10-12","上海"
"巴黎的演出考试","平凡","时与文","1947","第24期","20","上海"
"哲学是甚么?哲学家应该做甚么?:四月五日在北京大学讲演","张东荪","时与文","1947","第5期","12-13","上海"
"傅作义治下的察哈尔:塞外五日行之三","胡笛","时与文","1947","第8期","17-19","上海"
"日本政党的新分合","林焕平","时与文","1947","第6期","11","上海"
"狼与小羊","孔瑞明","时与文","1947","第13期","11","上海"
"木刻艺术的前途:从“观众测验”看第一届全国木刻展览会","李桦","时与文","1947","第10期","14-15","上海"
"略论娼妓","汪静远","时与文","1947","第11期","13-14","上海"
"“城与年”介绍","菊子","时与文","1947","第2卷 第8期","21","上海"
"读者之声:公教人员自叹","朱綘","时与文","1947","第2卷 第8期","24","上海"
"读者之声:蒲立德建议一石四鸟","李木子","时与文","1947","第2卷 第7期","24","上海"
"点金术:[漫画]","方成","时与文","1947","第2卷 第7期","5","上海"
"读者之声:这就是行宪准备!","时与文","1947","第13期","18",NA,"上海"
"董·古诃德哲学","于冰","时与文","1947","第10期","19","上海"
"赖马迪内阁的危机","沈炼之","时与文","1947","第10期","5-6","上海"
"“五月丁香”","赵涵","时与文","1947","第2卷 第4期","21-22","上海"
"评“天桥”","容方","时与文","1947","第2卷 第2期","26","上海"
"论战局(附图)","萧遥","时与文","1947","第2卷 第2期","9-13","上海"
"经济崩溃与经济政策(附图)","伍丹戈","时与文","1947","第1期","11-13","上海"
"艺文广播:美国众议院非美活动调查委员会正在侦查好莱坞的共产党活动……","时与文","1947","第2卷 第8期","23",NA,"上海"
"安全政策完成了:[漫画]","尼龙","时与文","1947","第2期","11","上海"
"空手肉搏!:[漫画]","时与文","1947","第2卷 第3期","2",NA,"上海"
"“他们不要瞎子去当兵”(歌曲评介):马凡陀词，嘉工曲","金颖","时与文","1947","第2卷 第3期","23","上海"
"公意:[漫画]","华山","时与文","1947","第2卷 第3期","2","上海"
"从四川国代选举中观察民意及政府的控制力量","何慧英","时与文","1947","第2卷 第14期","16-17","上海"
"美国援华问题的烦恼","宦乡","时与文","1947","第16期","7-9","上海"
"读者之声:救救小学教员","罗名军","时与文","1947","第14期","22","上海"
"简论当前经济政策","周伯棣","时与文","1947","第11期","9-12","上海"
"大局的现状与前途","程桯","时与文","1947","第17期","2-6","上海"
"联络班长任务未了:[漫画]","穆企","时与文","1947","第19期","2","上海"
"读者之声:北风日日凉(诗)","不雅诗人","时与文","1947","第2卷 第12期","2","上海"
"论民主的法治与反民主的法治","庆德苇","时与文","1947","第2卷 第12期","8-9","上海"
"河南:山东第二?","廷光","时与文","1947","第2卷 第13期","14-15","上海"
"读者之声:变戏法","钱毅","时与文","1947","第2卷 第10期","2","上海"
"美国援华的新努力:总结魏德迈在中国一个多月的活动","欧阳长虹","时与文","1947","第2卷 第1期","3-6","上海"
"评“还乡日记”:袁俊编导","容方","时与文","1947","第20期","22","上海"
"剧人广播:“观众”的演员撤离辣斐之后……","时与文","1947","第20期","22",NA,"上海"
"如何发展中国科学工作","高平 际云","时与文","1947","第23期","11-12","上海"
"明代亡国的教训","丁易","时与文","1947","第20期","9-13","上海"
"拾遗:[木刻]","李桦","时与文","1947","第21期","2","上海"
"读者之声:“顶好”报与“顶好”周刊","郑钦仁","时与文","1947","第21期","22","上海"
"儒述途穷","于冰","时与文","1947","第5期","17-19","上海"
"探囊取不尽·内战和无期:[漫画]","阿明","时与文","1947","第23期","2","上海"
"异战所谓“民主国际”!","尹其文","时与文","1947","第21期","10-11","上海"
"动员令到了杭州","张传宗","时与文","1947","第21期","15","上海"
"农村四季图:秋收:[漫画]","张文元","时与文","1947","第2期","17","上海"
"北塔山事件的透视","尹其文","时与文","1947","第16期","5-6","上海"
"主席北巡前后","辛莘","时与文","1947","第2卷 第14期","14","上海"
"致作者:时与文周刊已出到了第四期……","时与文","1947","第4期","19",NA,"上海"
"“精神的刷新”与“匪”的充斥","碧遥","时与文","1947","第20期","14-17","上海"
"前进的行列:[漫画]","方成","时与文","1947","第19期","2","上海"
"读者之声:美国何不送两颗原子弹来?","龚瑞祥","时与文","1947","第17期","24","上海"
"何为美?","周继善","时与文","1947","第7期","14-15","上海"
"沉默是最高的抗议:[木刻]","讷维","时与文","1947","第5期","5","上海"
"寓言二题:战神·和平之神及鹰与蛇","时与文","1947","第3期","18",NA,"上海"
"飞盘:[漫画]","华山","时与文","1947","第2卷 第2期","2","上海"
"重金礼聘:[漫画]","穆企","时与文","1947","第3期","4","上海"
"“今昔蒲剑”:郭沬若著","慈","时与文","1947","第22期","20","上海"
"关于“鲁迅传”的一点事实声明","范泉","时与文","1947","第2卷 第8期","20","上海"
"柴可夫斯基","冬耕","时与文","1947","第2卷 第7期","21","上海"
"论当前物价的上涨及其特征","林沧白","时与文","1947","第2卷 第7期","6-7","上海"
"北平二三事","胡笛","时与文","1947","第17期","19","上海"
"美国外交的新动向","宦乡","时与文","1947","第2期","10-12","上海"
"笛福和他的鲁滨孙飘流记","杨晦","时与文","1947","第2期","15-18","上海"
"论杀妻案","碧遥","时与文","1947","第15期","12-13","上海"
"论“杜鲁门主义”的经济扩张政策","费正","时与文","1947","第16期","10-13","上海"
"一天比一天强:[漫画多幅]","阿常","时与文","1947","第13期","2","上海"
"关于英国片:“孤星血泪”","佐文","时与文","1947","第2卷 第3期","23","上海"
"读者之声:机枪刺刀屠杀难民","辛美","时与文","1947","第2卷 第13期","2","上海"
"“真理”在北平被扼杀了(特约北平通讯)","孟秋蝉","时与文","1947","第2卷 第1期","17-18","上海"
"露出了狼的牙齿","淳风","时与文","1947","第2卷 第1期","22","上海"
"长江以南党的动乱","王士章","时与文","1947","第2卷 第13期","15-18","上海"
"皖省国代选举内情","杜渐","时与文","1947","第2卷 第13期","18-19","上海"
"法义的紧张局面","杜明","时与文","1947","第2卷 第13期","8-10","上海"
"浙大被捕同学惨死案续志","幼翀","时与文","1947","第2卷 第10期","18-20","上海"
"北平各方对民盟解散的态度和看法","文琪","时与文","1947","第2卷 第11期","16-17","上海"
"英国人与缅甸","萧草","时与文","1947","第8期","13-15","上海"
"“这不是你们的领土”!:[漫画]","WS","时与文","1947","第8期","17","上海"
"从马歇尔演说看美国动向","宦乡","时与文","1947","第9期","3-5","上海"
"对日和约问题","宦乡","时与文","1947","第21期","7-9","上海"
"中西文化的冲突与汇合","冯契","时与文","1947","第2期","5-8","上海"
"历史的厄运","穆堂","时与文","1947","第22期","18-19","上海"
"农村四季图:冬藏:[漫画]","张文元","时与文","1947","第2期","17","上海"
"诗与真:闻一多先生诗辑小引","吕荧","时与文","1947","第19期","5","上海"
"“钞票还不拿来?”:[漫画]","陈德龙","时与文","1947","第15期","2","上海"
"“好”景不常:[漫画]","周继光","时与文","1947","第24期","2","上海"
"读者之声:美国不会派军队到中国来“助剿”","欧阳长虹","时与文","1947","第23期","21","上海"
"羡煞，恨然:[漫画]","黛英","时与文","1947","第24期","2","上海"
