"title","author","journal","year","vol","page","place"
"自由主义在中国的实践","念慈","中建:北平版","1948","第1卷 第9期","6-8","上海"
"和效缪悠诗","一公","中建:北平版","1948","第1卷 第9期","12","上海"
"鲁迅的思想和创作(在清华鲁迅晚会讲)","李广田","中建:北平版","1948","第1卷 第9期","22-23","上海"
"流亡地主在都市:[木刻]","李桦","中建:北平版","1948","第1卷 第6期","8","上海"
"论民族主义","流金","中建:北平版","1948","第1卷 第8期","18","上海"
"悼朱佩弦师","王瑤","中建:北平版","1948","第1卷 第4期","14-16","上海"
"谈币制改革","周作仁","中建:北平版","1948","第1卷 第4期","6","上海"
"评金元券发行条例中的准备条款","樊弘","中建:北平版","1948","第1卷 第4期","8","上海"
"编者的话:感谢各方面朋友们的鼓励和投稿，使这一期的“中建”，在尽量挤缩之后，仍不得不排印卅二页","中建:北平版","1948","第1卷 第8期","27",NA,"上海"
"日本投降三周年感言(三篇)","许德珩 周建人 张东荪","中建:北平版","1948","第1卷 第4期","2-3","上海"
"美苏问题","冯宾符 张志让 蒋尚思","中建:北平版","1948","第1卷 第10期","2-5","上海"
"高调哲学与低调哲学:哲学杂论之一","郑昕","中建:北平版","1948","第1卷 第3期","12-13","上海"
"上海通讯:雷厉风行的经验工作","查化","中建:北平版","1948","第1卷 第5期","23-24","上海"
"真知识和假知识:一个社会科学工作人员的自白","费孝通","中建:北平版","1948","第1卷 第6期","6-7","上海"
"“开明自由的中路知识份子”","芮沐","中建:北平版","1948","第1卷 第2期","15-17","上海"
"开封通讯:河南近情","贺明","中建:北平版","1948","第1卷 第7期","29-30","上海"
"漫谈“民意测验”","楼__彦","中建:北平版","1948","第1卷 第9期","13","上海"
"悼现实主义画家齐振杞","冯法禩","中建:北平版","1948","第1卷 第3期","17","上海"
"同谁讲法?","楼__彦","中建:北平版","1948","第1卷 第3期","2-3","上海"
"论青年思想问题与中年人应持的态度","郑昕","中建:北平版","1948","第1卷 第6期","4-6","上海"
"朱自清先生传略","中建:北平版","1948","第1卷 第3期","9",NA,"上海"
"关于轰炸开封来件二则:开封浩劫实况","啸","中建:北平版","1948","第1卷 第1期","24","上海"
"由必要到自由","樊弘","中建:北平版","1948","第1卷 第3期","14-15","上海"
"从昨天看今天:“九一八北京大学示威运动专刊”读后感","柏万","中建:北平版","1948","第1卷 第5期","14-16","上海"
"悼佩弦先生","林庚","中建:北平版","1948","第1卷 第3期","9","上海"
"鲁迅先生纪念特辑:为了生活和战斗的纪念","许杰","中建:北平版","1948","第1卷 第7期","18-19","上海"
"再不要相信伪装的开明:纪念一二一","裴仁","中建:北平版","1948","第1卷 第10期","10","上海"
"南洋通讯:印尼在内战的边缘","瀛","中建:北平版","1948","第1卷 第7期","31","上海"
"论大学教育之改造","吕庆","中建:北平版","1948","第1卷 第8期","10-11","上海"
"北平通讯:关于城乡物资交流","陈林","中建:北平版","1948","第1卷 第3期","19-21","上海"
"渖阳通讯:被遗忘了的长春","杨易","中建:北平版","1948","第1卷 第3期","23-24","上海"
"香港通讯:香港人对币制改革的看法","欧阳春","中建:北平版","1948","第1卷 第5期","20-21","上海"
"大九州的梦","平伯","中建:北平版","1948","第1卷 第1期","16","上海"
"医学与文学(三十七年五月十九日在北京大学医学院讲)","李广田","中建:北平版","1948","第1卷 第1期","13-15","上海"
"存款兑现与物价","季陶达","中建:北平版","1948","第1卷 第10期","8-9","上海"
"西安通讯:从奖励囤粮看今日西安","蒙若","中建:北平版","1948","第1卷 第7期","30-31","上海"
"秋讯","黄炎培","中建:北平版","1948","第1卷 第5期","9","上海"
"历史回忆:清吏护救党人","范樸斋","中建:北平版","1948","第1卷 第10期","12-14","上海"
"上海通讯:抢购潮及其它","非言","中建:北平版","1948","第1卷 第7期","26-27","上海"
"历史回忆:与杨沧白先生有关的几件事和他的诗","范樸斋","中建:北平版","1948","第1卷 第9期","24","上海"
"忠君与爱国","平伯","中建:北平版","1948","第1卷 第9期","21","上海"
"从公报中看T.V.宋治下的广东治安","司马夫","中建:北平版","1948","第1卷 第4期","23-24","上海"
"汉口通讯:徐蚌争夺与淮海战局","莫邪","中建:北平版","1948","第1卷 第9期","31","上海"
"兰州通讯:回教徒这个力量","罗伦","中建:北平版","1948","第1卷 第4期","18-20","上海"
"论英美的武装警备政策","费孝通","中建:北平版","1948","第1卷 第7期","5-6","上海"
"根本抗议以司法手段解决学生运动","张志让 周谷城 夏康农","中建:北平版","1948","第1卷 第6期","2","上海"
"改革币制能挽救经济危机吗?","粟寄沧","中建:北平版","1948","第1卷 第4期","7-8","上海"
"成都通讯:四川的暗潮","朱柏","中建:北平版","1948","第1卷 第3期","22-23","上海"
"美国政治动向会变更吗?","费孝通","中建:北平版","1948","第1卷 第10期","6","上海"
"学校诚然不是租界","费青","中建:北平版","1948","第1卷 第5期","3-4","上海"
"自由主义与知识份子侧论","念慈","中建:北平版","1948","第1卷 第5期","11-12","上海"
"天津通讯:北方工业的残局","吴敏","中建:北平版","1948","第1卷 第1期","18-20","上海"
"人民世纪与人民教育","杜任之","中建:北平版","1948","第1卷 第9期","14-16","上海"
"从这一代的学运看这一代的政治","杨人楩","中建:北平版","1948","第1卷 第8期","13-15","上海"
"鲁迅先生纪念特辑:鲁迅先生:[木刻]","漾兮","中建:北平版","1948","第1卷 第7期","15","上海"
"长沙通讯:湘政改组前后","毋己","中建:北平版","1948","第1卷 第8期","25-26","上海"
"饥饿!饥饿!:[木刻]","李桦","中建:北平版","1948","第1卷 第8期","27","上海"
"鲁迅在文艺批评工作上的启示:十月二十日在中法大学讲演稿","李长之","中建:北平版","1948","第1卷 第8期","21-23","上海"
"艺术家齐振杞遭暗杀","徐悲鸿","中建:北平版","1948","第1卷 第6期","21","上海"
"书评:日边随笔:李广田作、三十七年五月、上海文化生活出版社发行、价三元七角、页八六","长之","中建:北平版","1948","第1卷 第6期","18-19","上海"
"怀念佩弦先生","郑昕","中建:北平版","1948","第1卷 第4期","11-12","上海"
"心理学常谈(一)","孙国萧","中建:北平版","1948","第1卷 第1期","12-13","上海"
"外交战扩及北非:附地图","费孝通","中建:北平版","1948","第1卷 第5期","7-8","上海"
"北平通讯:大局在变","陈林","中建:北平版","1948","第1卷 第1期","17-18","上海"
"成都通讯:从望江楼到华西坝:一年来成都学生的动向","马汀","中建:北平版","1948","第1卷 第9期","29-31","上海"
"双星的殒落:悼念朱自清先生","渐离","中建:北平版","1948","第1卷 第4期","13-14","上海"
"三年:纪念“一二一”三周年","凌冰","中建:北平版","1948","第1卷 第10期","10","上海"
"日本赔偿物资不可放弃","徐盈","中建:北平版","1948","第1卷 第7期","7-8","上海"
"朱自清先生","冯至","中建:北平版","1948","第1卷 第3期","10-11","上海"
"与青年谈小事","袁翰青","中建:北平版","1948","第1卷 第6期","12-14","上海"
"本刊上海座谈纪录:当前的学生问题","夏康农 董每戡 杨晦","中建:北平版","1948","第1卷 第7期","9-14","上海"
"关于思想自由及其它","郑昕","中建:北平版","1948","第1卷 第1期","10-12","上海"
"历史回忆:三十年前“安那其主义学会”","范樸斋","中建:北平版","1948","第1卷 第8期","24","上海"
"半月专栏:当前的物价走势","娄立斋","中建:北平版","1948","第1卷 第9期","19","上海"
"编者的话:北平版“中建”已经出了六期，这是第七期了","中建:北平版","1948","第1卷 第7期","2",NA,"上海"
"朱自清先生:[照片]","中建:北平版","1948","第1卷 第3期","9",NA,"上海"
"书评:“国际人权保障公约刍议”:“An International Bill of The Rights of Man，”by H.Lauterpacht，Columbia University Press，New York，1945，pp.230+X.","李浩培","中建:北平版","1948","第1卷 第6期","17-18","上海"
"华北通讯:塞外一月周旋","郭正","中建:北平版","1948","第1卷 第8期","28-29","上海"
"诤友(朱佩弦兄遗念)","俞平伯","中建:北平版","1948","第1卷 第4期","9-10","上海"
"美国能复兴西德吗?","Sternberg，F.","中建:北平版","1948","第1卷 第8期","20-21","上海"
"心理学常谈(二):附表","孙国华","中建:北平版","1948","第1卷 第2期","13-15","上海"
"做一个今天中国的大学生","袁翰青","中建:北平版","1948","第1卷 第10期","7-8","上海"
"关于轰炸开封来件二则:从滥炸开封说起","周纳","中建:北平版","1948","第1卷 第1期","23-24","上海"
"我所认识的朱自清先生","闻家驷","中建:北平版","1948","第1卷 第5期","13","上海"
"朝鲜温和派向左转","Hugh，D. 礼凡","中建:北平版","1948","第1卷 第5期","14-16","上海"
"了解这一代的青年","袁翰青","中建:北平版","1948","第1卷 第2期","11-13","上海"
"读者投书:“都到了这会啦，还怕呀!”","梁远","中建:北平版","1948","第1卷 第7期","2","上海"
"北平北大师院二校教授对于当局拘传学生抗议书","中建:北平版","1948","第1卷 第4期","24",NA,"上海"
"本刊座谈纪录:知识份子今天的任务","张东荪 许德珩 费孝通","中建:北平版","1948","第1卷 第2期","2-8","上海"
"三十七年八月二十一日下午四时为警宪在校内搜查学生事对在场的学生教职员跟警宪说话","陆志韦","中建:北平版","1948","第1卷 第4期","4","上海"
"中国今日之自由问题与自由主义者","许德珩","中建:北平版","1948","第1卷 第9期","4-5","上海"
"论胡适的自由主义","吕克難","中建:北平版","1948","第1卷 第8期","19","上海"
"成都通讯:金圆·镍币·人心","舒曼","中建:北平版","1948","第1卷 第5期","21-23","上海"
"英国刊物评论中国局势","中建:北平版","1948","第1卷 第10期","11",NA,"上海"
"本是同根生:[木刻]","李桦","中建:北平版","1948","第1卷 第2期","15","上海"
"日本经济发展势必威胁和平","孟宪章","中建:北平版","1948","第1卷 第8期","8-9","上海"
"秀才造反","薛愚","中建:北平版","1948","第1卷 第9期","8-9","上海"
"青岛通讯:山东的战略地位","鲁宾荪","中建:北平版","1948","第1卷 第6期","24，11","上海"
"汉口通讯:从黄河到长江","莫邪","中建:北平版","1948","第1卷 第2期","21","上海"
"论戊戌变法","刘勉","中建:北平版","1948","第1卷 第3期","3-5","上海"
"明初的恐怖政治","吴晗","中建:北平版","1948","第1卷 第2期","17-20","上海"
"诗和诗的对象","俞铭传","中建:北平版","1948","第1卷 第6期","19-20","上海"
"历史回忆:前清末年的四川","范樸斋","中建:北平版","1948","第1卷 第7期","21-23","上海"
"读张菊生先生“刍荛之言”","费孝通","中建:北平版","1948","第1卷 第8期","6-7","上海"
"科学需要组织","Beanal，J.D.","中建:北平版","1948","第1卷 第7期","20-21","上海"
"鲁迅先生纪念特辑:纪念鲁迅","俞铭传","中建:北平版","1948","第1卷 第7期","19","上海"
"上海通讯:吴国桢的“神经战”","裘思","中建:北平版","1948","第1卷 第1期","22-23","上海"
"东北通讯:东北在拖!","陈陆","中建:北平版","1948","第1卷 第8期","26-27","上海"
"书评:史迪威日记家书选录(The Stilwell Papers by General Joseph W.Stilwell.Edited and aranged by Theodore H White.Willisam Sloane Association，Ine.N.Y.1948.xvi+357 U.S.$4)","朱方","中建:北平版","1948","第1卷 第9期","32","上海"
"南京通讯:当前大局鸟瞰","章秦","中建:北平版","1948","第1卷 第9期","25-27","上海"
"读金圆外币的修正条款有感","樊弘","中建:北平版","1948","第1卷 第9期","3，18","上海"
"朱自清先生的道路(这是为朱先生纪念晚会而写的讲稿，晚会未开，稿寄香港“小说月刊”第五期发表，“小说月刊”第五期或已出版，但北方不易见到，“中建”允许刊载，谨致谢意.)","李广田","中建:北平版","1948","第1卷 第10期","15-16","上海"
"泄漏改币案感言","夏炎德","中建:北平版","1948","第1卷 第6期","15","上海"
"渖阳通讯:东北居天下之先","拂晓","中建:北平版","1948","第1卷 第3期","18-19","上海"
"天津通讯:失守以后的济南","中建:北平版","1948","第1卷 第10期","23-24",NA,"上海"
"从美国大选看美国民主","费孝通","中建:北平版","1948","第1卷 第9期","10-12","上海"
"访问育才学校","幼华","中建:北平版","1948","第1卷 第4期","17","上海"
"香港通讯:文化人在香港","欧阳春","中建:北平版","1948","第1卷 第8期","29","上海"
"论狂妄政治","费青","中建:北平版","1948","第1卷 第9期","2","上海"
"一个死不得的人","闻家驷","中建:北平版","1948","第1卷 第3期","11","上海"
"通货膨胀与限价政策","周作仁","中建:北平版","1948","第1卷 第7期","6","上海"
"上海通讯:币制改革了","非言","中建:北平版","1948","第1卷 第4期","22-23","上海"
"朱自清先生手迹:[手迹]","朱自清","中建:北平版","1948","第1卷 第4期","15","上海"
"北平通讯:艰难的苦撑局面","裴仁","中建:北平版","1948","第1卷 第8期","31-32","上海"
"半月专栏:中国外交的新阶段","筠友","中建:北平版","1948","第1卷 第7期","23-24","上海"
"台北通讯:一艘不能移动的航空母舰","林达薇","中建:北平版","1948","第1卷 第10期","19-20","上海"
"从这一代的学潮看这一代的教育","杨人楩","中建:北平版","1948","第1卷 第9期","16-18","上海"
"增产与革命:写了“民主主义与社会主义”以后","张东荪","中建:北平版","1948","第1卷 第1期","2-4","上海"
"编者的话:本期我们原拟献出主要的篇幅来讨论青年问题，我们也已收到许多青年朋友的投稿","中建:北平版","1948","第1卷 第6期","21",NA,"上海"
"旧戏新谈序","徐铸成","中建:北平版","1948","第1卷 第3期","24","上海"
"南洋通讯:马来亚的恐怖","瀛","中建:北平版","1948","第1卷 第4期","18","上海"
"公家经济在崩溃中:大钞是政治上鸦片烟","樊弘","中建:北平版","1948","第1卷 第1期","6-9","上海"
"我生的那一年","平伯","中建:北平版","1948","第1卷 第1期","16","上海"
"上海通讯:粮荒与动乱中的上海","新黎","中建:北平版","1948","第1卷 第9期","28-29","上海"
"转载:刍荛之言:国立中央研究院第一次院士会致词","张元济","中建:北平版","1948","第1卷 第7期","32","上海"
"西安通讯:在动荡中的西安","蒙若","中建:北平版","1948","第1卷 第10期","22","上海"
"再认识孔子:本文原为纪念孔子诞辰而写，但因邮寄和其它原因的耽误，直到现在纔能发表，我们特此向作者和读者表示深切的歉意","胡宣之","中建:北平版","1948","第1卷 第6期","9-11","上海"
"一个觉悟的思想家:唐甄","容肇祖","中建:北平版","1948","第1卷 第3期","15-17","上海"
"记世界知识分子和平大会","Martin，K.","中建:北平版","1948","第1卷 第6期","16-17","上海"
"和难战亦不成","费孝通","中建:北平版","1948","第1卷 第2期","9-11","上海"
"论节约","郑伯彬","中建:北平版","1948","第1卷 第5期","6-8","上海"
"台湾通讯:“阿山”台湾人之间","高超","中建:北平版","1948","第1卷 第4期","20-22","上海"
"北平通讯:谁杀死齐人教授","陈路","中建:北平版","1948","第1卷 第6期","20-21","上海"
"北平通讯:两个全国性学术会议","韦文","中建:北平版","1948","第1卷 第5期","18-19","上海"
"兰州通讯:雾里的西北青年","江汉","中建:北平版","1948","第1卷 第2期","23-24","上海"
"成都通讯:四川的内忧和外患","何安民","中建:北平版","1948","第1卷 第7期","27-28","上海"
"打虎队:[画图]","吴名","中建:北平版","1948","第1卷 第8期","30","上海"
"北平通讯:七五惨案前后","Lyon，J.","中建:北平版","1948","第1卷 第1期","20-22","上海"
"金园券","马寅初","中建:北平版","1948","第1卷 第8期","2-5","上海"
"汉口通讯:徐蚌会战第一回合","莫邪","中建:北平版","1948","第1卷 第10期","21","上海"
"向大学新同学献辞","樊弘","中建:北平版","1948","第1卷 第7期","3-4","上海"
"从“九一八”看现在日本","孟宪章","中建:北平版","1948","第1卷 第5期","10-11","上海"
"记朱佩弦先生","李广田","中建:北平版","1948","第1卷 第4期","12-13","上海"
"鲁迅先生纪念特辑:纪念鲁迅先生","李广田","中建:北平版","1948","第1卷 第7期","16-17","上海"
"南京通讯:自食其果","爽任","中建:北平版","1948","第1卷 第6期","22-23","上海"
"武汉通讯:看华中秋季攻势","莫邪","中建:北平版","1948","第1卷 第5期","19-20","上海"
"悼朱佩弦先生","吴晗","中建:北平版","1948","第1卷 第3期","10","上海"
"鲁迅先生纪念特辑:笔记一篇","景宋","中建:北平版","1948","第1卷 第7期","17-18","上海"
"目前技术工作者不应苦闷","孔孝天","中建:北平版","1948","第1卷 第6期","8-9","上海"
"评北大处理八一九案件的办法","樊弘","中建:北平版","1948","第1卷 第5期","4-5","上海"
"哀哀报人","郭根","中建:北平版","1948","第1卷 第8期","9","上海"
"闲话南朝(一):刘裕和士大夫","孙楷弟","中建:北平版","1948","第1卷 第5期","17","上海"
"今罪言","向达","中建:北平版","1948","第1卷 第5期","2","上海"
"论教育的社会化:读潘光旦先生的“论教育的更张”","蔡尚思","中建:北平版","1948","第1卷 第8期","12-13","上海"
"半月专栏:国内科学界盛会侧评","张孟闻","中建:北平版","1948","第1卷 第9期","20-21","上海"
"在遍地烽火中能“建设乡村”吗?","严景耀","中建:北平版","1948","第1卷 第3期","5-7","上海"
"祝南北两学术会议","向达","中建:北平版","1948","第1卷 第6期","3-4","上海"
"朱自清先生与现代散文","杨振声","中建:北平版","1948","第1卷 第4期","10-11","上海"
"北平通讯:华北与东北","韦武","中建:北平版","1948","第1卷 第7期","25-26","上海"
"献给中国自强不息的教师们","磊风","中建:北平版","1948","第1卷 第6期","12-14","上海"
"北平通讯:关于城乡物资交流","陈林","中建:华北航空版","1948","第3期","19-21","上海"
"诤友(朱佩弦兄遗念)","俞平伯","中建:华北航空版","1948","第4期","9-10","上海"
"青岛通讯:山东的战略地位","鲁宾荪","中建:华北航空版","1948","第6期","24，11","上海"
"诗和诗的对象","俞铭传","中建:华北航空版","1948","第6期","19-20","上海"
"真知识和假知识:一个社会科学工作人员的自白","费善通","中建:华北航空版","1948","第6期","6-7","上海"
"北平通讯:七五惨案前后","Lyon，J.","中建:华北航空版","1948","第1期","20-22","上海"
"旧戏新谈序","徐铸成","中建:华北航空版","1948","第3期","24","上海"
"高调哲学与低调哲学:哲学杂论之一","郑昕","中建:华北航空版","1948","第3期","12-13","上海"
"论青年思想问题与中年人应持的态度","郑昕","中建:华北航空版","1948","第6期","4-6","上海"
"记世界知识分子和平大会","Martin，K.","中建:华北航空版","1948","第6期","16-17","上海"
"朱自清先生与现代散文","杨振声","中建:华北航空版","1948","第4期","10-11","上海"
"朝鲜温和派向左转","Deane，H. 礼凡","中建:华北航空版","1948","第5期","14-16","上海"
"增产与革命:写了“民主主义与社会主义”以后","张东荪","中建:华北航空版","1948","第1期","2-4","上海"
"评金元券发行条例中的准备条款","樊弘","中建:华北航空版","1948","第4期","8","上海"
"哭佩弦先生","游国恩","中建:华北航空版","1948","第4期","9","上海"
"闲话南朝(一):刘裕和士大夫","孙楷弟","中建:华北航空版","1948","第5期","17","上海"
"谈币制改革","周作仁","中建:华北航空版","1948","第4期","6","上海"
"关于思想自由及其它","郑昕","中建:华北航空版","1948","第1期","10-12","上海"
"评北大处理八一九案件的办法","樊弘","中建:华北航空版","1948","第5期","4-5","上海"
"为文物请命","向达","中建:华北航空版","1948","第3期","8","上海"
"书评:“国际人权保障公约刍议”:“An International Bill of The Rights of Man，”by H.Lauterpacht，Columbia University Press，New York，1945，pp.230+X.","李浩培","中建:华北航空版","1948","第6期","17-18","上海"
"与青年谈小事","袁翰青","中建:华北航空版","1948","第6期","12-14","上海"
"三十七年八月二十一日下午四时为警宪在校内搜查学生事对在场的学生教职员跟警宪说话","陆志群","中建:华北航空版","1948","第4期","4","上海"
"改革币制能挽救经济危机吗?","粟寄沧","中建:华北航空版","1948","第4期","7-8","上海"
"流亡地主在都市:[木刻]","李桦","中建:华北航空版","1948","第6期","8","上海"
"悼朱佩弦先生","吴晗","中建:华北航空版","1948","第3期","10","上海"
"心理学常谈(一)","孙国萧","中建:华北航空版","1948","第1期","12-13","上海"
"同谁讲法?","楼邦彦","中建:华北航空版","1948","第3期","2-3","上海"
"北平通讯:大局在变","陈林","中建:华北航空版","1948","第1期","17-18","上海"
"在遍地烽火中能“建设乡村”吗?","严景耀","中建:华北航空版","1948","第3期","5-7","上海"
"一个觉悟的思想家:唐甄","容肇祖","中建:华北航空版","1948","第3期","15-17","上海"
"双星的殒落:悼念朱自清先生","渐离","中建:华北航空版","1948","第4期","13-14","上海"
"日本投降三周年感言(三篇)","许德珩 周建人 张东荪","中建:华北航空版","1948","第4期","2-3","上海"
"从“九一八”看现在日本","孟宪章","中建:华北航空版","1948","第5期","10-11","上海"
"香港通讯:香港人对币制改革的看法","欧阳春","中建:华北航空版","1948","第5期","20-21","上海"
"上海通讯:雷厉风行的经验工作","查化","中建:华北航空版","1948","第5期","23-24","上海"
"根本抗议以司法手段解决学生运动","张志讓 周谷城 夏康农","中建:华北航空版","1948","第6期","2","上海"
"自由主义与知识份子侧论","念慈","中建:华北航空版","1948","第5期","11-12","上海"
"上海通讯:币制改革了","非言","中建:华北航空版","1948","第4期","22-23","上海"
"渖阳通讯:被遗忘了的长春","杨易","中建:华北航空版","1948","第3期","23-24","上海"
"台湾通讯:“阿山”台湾人之间","高超","中建:华北航空版","1948","第4期","20-22","上海"
"外交战扩及北非:附地图","费善通","中建:华北航空版","1948","第5期","7-8","上海"
"秋讯","黄炎培","中建:华北航空版","1948","第5期","9","上海"
"今罪言","向达","中建:华北航空版","1948","第5期","2","上海"
"一个死不得的人","闻家驷","中建:华北航空版","1948","第3期","11","上海"
"我生的那一年","平伯","中建:华北航空版","1948","第1期","16","上海"
"目前技术工作者不应苦闷","孔孝天","中建:华北航空版","1948","第6期","8-9","上海"
"泄漏改币案感言","夏炎德","中建:华北航空版","1948","第6期","15","上海"
"关于轰炸开封来件二则:从滥炸开封说起","周纳","中建:华北航空版","1948","第1期","23-24","上海"
"南洋通讯:马来亚的恐怖","瀛","中建:华北航空版","1948","第4期","18","上海"
"公家经济在崩溃中:大钞是政治上鸦片烟","樊弘","中建:华北航空版","1948","第1期","6-9","上海"
"朱自清先生传略","中建:华北航空版","1948","第3期","9",NA,"上海"
"由必要到自由","樊弘","中建:华北航空版","1948","第3期","14-15","上海"
"南京通讯:自食其果","爽任","中建:华北航空版","1948","第6期","22-23","上海"
"献给中国自强不息的教师们","磊风","中建:华北航空版","1948","第6期","12-14","上海"
"渖阳通讯:东北居天下之先","拂晓","中建:华北航空版","1948","第3期","18-19","上海"
"上海通讯:吴国桢的“神经战”","裘思","中建:华北航空版","1948","第1期","22-23","上海"
"天津通讯:北方工业的残局","吴敏","中建:华北航空版","1948","第1期","18-20","上海"
"悼佩弦先生","林庚","中建:华北航空版","1948","第3期","9","上海"
"北平通讯:谁杀死齐人教授","陈路","中建:华北航空版","1948","第6期","20-21","上海"
"悼现实主义画家齐振杞","冯法禩","中建:华北航空版","1948","第3期","17","上海"
"艺术家齐振杞遭暗杀","徐悲鸿","中建:华北航空版","1948","第6期","21","上海"
"痛悼我们的导师","中建:华北航空版","1948","第3期","9",NA,"上海"
"北平通讯:两个全国性学术会议","韦文","中建:华北航空版","1948","第5期","18-19","上海"
"祝南北两学术会议","向达","中建:华北航空版","1948","第6期","3-4","上海"
"书评:日边随笔:李广田作、三十七年五月、上海文化生活出版社发行、价三元七角、页八六","长之","中建:华北航空版","1948","第6期","18-19","上海"
"论“苦撑待变”","费善通","中建:华北航空版","1948","第1期","4-6","上海"
"兰州通讯:回教徒这个力量","罗伦","中建:华北航空版","1948","第4期","18-20","上海"
"北平北大师院二校教授对于当局拘传学生抗议书","中建:华北航空版","1948","第4期","24",NA,"上海"
"编者的话:本期我们原拟献出主要的篇幅来讨论青年问题，我们也已收到许多青年朋友的投稿","中建:华北航空版","1948","第6期","21",NA,"上海"
"大九州的梦","平伯","中建:华北航空版","1948","第1期","16","上海"
"一多兄死难二周年祭","闻家驷","中建:华北航空版","1948","第1期","9-10","上海"
"论戊戌变法","刘勉","中建:华北航空版","1948","第3期","3-5","上海"
"休战不是和平","费善通","中建:华北航空版","1948","第4期","4-5","上海"
"关于轰炸开封来件二则:开封浩劫实况","啸","中建:华北航空版","1948","第1期","24","上海"
"再认识孔子:本文原为纪念孔子诞辰而写，但因邮寄和其它原因的耽误，直到现在纔能发表，我们特此向作者和读者表示深切的歉意","胡宣之","中建:华北航空版","1948","第6期","9-11","上海"
"成都通讯:四川的暗潮","朱柏","中建:华北航空版","1948","第3期","22-23","上海"
"访问育才学校","幼华","中建:华北航空版","1948","第4期","17","上海"
"记朱佩弦先生","李广田","中建:华北航空版","1948","第4期","12-13","上海"
"悼朱佩弦师:附朱自清先生手迹","王瑶","中建:华北航空版","1948","第4期","14-16","上海"
"怀念佩弦先生","郑昕","中建:华北航空版","1948","第4期","11-12","上海"
"论节约","郑伯彬","中建:华北航空版","1948","第5期","6-8","上海"
"我所认识的朱自清先生","闻家驷","中建:华北航空版","1948","第5期","13","上海"
"成都通讯:金圆·镍币·人心","舒曼","中建:华北航空版","1948","第5期","21-23","上海"
"从昨天看今天:“九一八北京大学示威运动专刊”读后感","柏万","中建:华北航空版","1948","第5期","14-16","上海"
"武汉通讯:看华中秋季攻势","莫邪","中建:华北航空版","1948","第5期","19-20","上海"
"医学与文学(三十七年五月十九日在北京大学医学院讲)","李广田","中建:华北航空版","1948","第1期","13-15","上海"
"从公报中看T.V.宋治下的广东治安","司马夫","中建:华北航空版","1948","第4期","23-24","上海"
"朱自清先生","冯至","中建:华北航空版","1948","第3期","10","上海"
"学校诚然不是租界","费青","中建:华北航空版","1948","第5期","3-4","上海"
"论费边社","张文","主流","1947","第2期","6-11","南京"
"假使英国今天是保守党执政的话","白坚石","主流","1947","第9期","5-8","南京"
"世界之路·革命之途:论一个不流血革命的惯例","司马懷冰","主流","1947","第10期","1-4","南京"
"我们狂飙社的意见","王秋逸","主流","1947","第4期","21-23","南京"
"来一次生活观念上的革命","马元青","主流","1947","第11期","5-9","南京"
"以第三世界之长成消除资共世界的对立","羅夢册","主流","1947","第5期","1-10","南京"
"河大来件","主流","1947","第9期","19",NA,"南京"
"中国必能走上社会主义的坦途","黄镜明","主流","1947","第5期","22-23","南京"
