Id,Label,timeset,type,type2,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
左拉(1945),左拉,,author,author,"#B4B4B4",187,9480,0.480536,2,0.550134,0.591131,0
黄炎培(1945),黄炎培,,author,author,"#B4B4B4",488,5513,0.748153,2,0.65601,0.737817,18080.869953
新命(1945),新命,,author,author,"#B4B4B4",190,7383,0.389869,3,0.532434,0.582034,0
努生(1945),努生,,author,author,"#B4B4B4",222,4956,0.273333,2,0.560656,0.608187,1005.841694
郑振铎(1945),郑振铎,,author,author,"#B4B4B4",357,8664,0.641283,2,0.60531,0.673977,4672.081256
阿尔古斯(1945),阿尔古斯,,author,author,"#B4B4B4",264,5037,0.347201,2,0.573826,0.628655,4787.867637
昭抡(1945),昭抡,,author,author,"#B4B4B4",133,4389,0.1612,2,0.534653,0.564815,0
俞颂华(1945),俞颂华,,author,author,"#B4B4B4",317,3401,0.552925,2,0.591354,0.654483,11276.3685
丰子恺(1945),丰子恺,,author,author,"#B4B4B4",187,5280,0.480536,2,0.550134,0.591131,0
张文伯(1945),张文伯,,author,author,"#B4B4B4",190,5248,0.389869,3,0.532434,0.582034,0
陶行知(1945),陶行知,,author,author,"#B4B4B4",369,3430,0.691987,2,0.609626,0.679825,2196.233432
梁公任(1945),梁公任,,author,author,"#B4B4B4",92,2340,0.070194,3,0.472593,0.510559,0
景宋(1945),景宋,,author,author,"#B4B4B4",385,4102,0.702996,2,0.615477,0.687622,4858.985561
蒲岗(1945),蒲岗,,author,author,"#B4B4B4",104,2046,0.132534,3,0.490674,0.527453,0
守巧夫(1945),守巧夫,,author,author,"#B4B4B4",140,2286,0.15466,3,0.506917,0.550032,0
尊闻(1945),尊闻,,author,author,"#B4B4B4",104,1692,0.132534,3,0.490674,0.527453,0
秦柳方(1945),秦柳方,,author,author,"#B4B4B4",216,1833,0.263861,2,0.558824,0.605263,2934.907964
米谷(1945),米谷,,author,author,"#B4B4B4",140,2286,0.15466,3,0.506917,0.550032,0
郭沫若(1945),郭沫若,,author,author,"#B4B4B4",466,3613,0.766537,2,0.64691,0.727096,20921.948523
钱穆(1945),钱穆,,author,author,"#B4B4B4",190,3015,0.389869,3,0.532434,0.582034,0
史大林(1945),史大林,,author,author,"#B4B4B4",140,2040,0.15466,3,0.506917,0.550032,0
周建人(1945),周建人,,author,author,"#B4B4B4",273,3217,0.553906,2,0.576728,0.633041,1079.9713
平心(1945),平心,,author,author,"#B4B4B4",409,3162,0.687203,2,0.624467,0.699318,10582.370457
施维卓夫(1945),施维卓夫,,author,author,"#B4B4B4",140,2040,0.15466,3,0.506917,0.550032,0
王新命(1945),王新命,,author,author,"#B4B4B4",190,2688,0.389869,3,0.532434,0.582034,0
董秋斯(1945),董秋斯,,author,author,"#B4B4B4",104,1512,0.132534,3,0.490674,0.527453,0
右民(1945),右民,,author,author,"#B4B4B4",190,2359,0.389869,3,0.532434,0.582034,0
建人(1945),建人,,author,author,"#B4B4B4",190,2359,0.389869,3,0.532434,0.582034,0
引流(1945),引流,,author,author,"#B4B4B4",92,1302,0.070194,3,0.472593,0.510559,0
石啸冲(1945),石啸冲,,author,author,"#B4B4B4",165,583,0.219206,2,0.54372,0.580409,1344.453285
伊戈斯(1945),伊戈斯,,author,author,"#B4B4B4",264,1719,0.347201,2,0.573826,0.628655,4787.867637
孟南(1945),孟南,,author,author,"#B4B4B4",251,1816,0.343181,2,0.569684,0.62232,1130.999913
杨明(1945),杨明,,author,author,"#B4B4B4",234,1395,0.2836,2,0.564356,0.614035,3053.930671
罗隆基(1945),罗隆基,,author,author,"#B4B4B4",322,1788,0.414909,2,0.593064,0.65692,2339.141868
胡春冰(1945),胡春冰,,author,author,"#B4B4B4",318,2205,0.594528,2,0.591696,0.654971,20781.048223
蒋炳贤(1945),蒋炳贤,,author,author,"#B4B4B4",190,2028,0.389869,3,0.532434,0.582034,0
费孝通(1945),费孝通,,author,author,"#B4B4B4",251,1641,0.343181,2,0.569684,0.62232,1130.999913
邓初民(1945),邓初民,,author,author,"#B4B4B4",470,2640,0.477619,2,0.648546,0.729045,24217.010928
钱纳水(1945),钱纳水,,author,author,"#B4B4B4",190,2028,0.389869,3,0.532434,0.582034,0
马叙伦(1945),马叙伦,,author,author,"#B4B4B4",273,3186,0.553906,2,0.576728,0.633041,1079.9713
Pen(1945),Pen,,author,author,"#B4B4B4",140,1290,0.15466,3,0.506917,0.550032,0
加里宁(1945),加里宁,,author,author,"#B4B4B4",140,1290,0.15466,3,0.506917,0.550032,0
叶青(1945),叶青,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
吴晗(1945),吴晗,,author,author,"#B4B4B4",133,1225,0.1612,2,0.534653,0.564815,0
小鱼(1945),小鱼,,author,author,"#B4B4B4",221,1189,0.223283,2,0.56035,0.6077,2368.605828
思慕(1945),思慕,,author,author,"#B4B4B4",251,1402,0.343181,2,0.569684,0.62232,1130.999913
曹聚仁(1945),曹聚仁,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
杨卫玉(1945),杨卫玉,,author,author,"#B4B4B4",92,940,0.070194,3,0.472593,0.510559,0
柳宗元(1945),柳宗元,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
珂田(1945),珂田,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
翦伯赞(1945),翦伯赞,,author,author,"#B4B4B4",237,594,0.301716,2,0.565289,0.615497,2699.959124
胡曲园(1945),胡曲园,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
蒋君章(1945),蒋君章,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
许师愼(1945),许师愼,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
郑学稼(1945),郑学稼,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
郭寿生(1945),郭寿生,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
陶伯(1945),陶伯,,author,author,"#B4B4B4",128,865,0.207667,2,0.533264,0.562378,0
黄义本(1945),黄义本,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
齐纬(1945),齐纬,,author,author,"#B4B4B4",92,940,0.070194,3,0.472593,0.510559,0
龚德柏(1945),龚德柏,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
严延(1945),严延,,author,author,"#B4B4B4",37,220,0.018897,3,0.450197,0.475146,0
伯侨(1945),伯侨,,author,author,"#B4B4B4",190,1360,0.389869,3,0.532434,0.582034,0
光未然(1945),光未然,,author,author,"#B4B4B4",133,984,0.1612,2,0.534653,0.564815,0
克士(1945),克士,,author,author,"#B4B4B4",273,1117,0.553906,2,0.576728,0.633041,1079.9713
君山(1945),君山,,author,author,"#B4B4B4",133,984,0.1612,2,0.534653,0.564815,0
张一凡(1945),张一凡,,author,author,"#B4B4B4",409,1722,0.687203,2,0.624467,0.699318,10582.370457
张礼千(1945),张礼千,,author,author,"#B4B4B4",92,756,0.070194,3,0.472593,0.510559,0
戈尔巴朵夫(1945),戈尔巴朵夫,,author,author,"#B4B4B4",140,1036,0.15466,3,0.506917,0.550032,0
曾资生(1945),曾资生,,author,author,"#B4B4B4",190,1360,0.389869,3,0.532434,0.582034,0
李翼民(1945),李翼民,,author,author,"#B4B4B4",190,1360,0.389869,3,0.532434,0.582034,0
澹庐(1945),澹庐,,author,author,"#B4B4B4",92,756,0.070194,3,0.472593,0.510559,0
王立果(1945),王立果,,author,author,"#B4B4B4",133,984,0.1612,2,0.534653,0.564815,0
百辞(1945),百辞,,author,author,"#B4B4B4",205,753,0.294717,2,0.555495,0.599903,352.735125
章伯钧(1945),章伯钧,,author,author,"#B4B4B4",273,928,0.312352,2,0.576728,0.633041,5690.530322
端木蕻良(1945),端木蕻良,,author,author,"#B4B4B4",128,696,0.207667,2,0.533264,0.562378,0
米哈伊洛夫(1945),米哈伊洛夫,,author,author,"#B4B4B4",140,1036,0.15466,3,0.506917,0.550032,0
索非(1945),索非,,author,author,"#B4B4B4",273,1564,0.553906,2,0.576728,0.633041,1079.9713
罗稷南(1945),罗稷南,,author,author,"#B4B4B4",273,1117,0.553906,2,0.576728,0.633041,1079.9713
罗西(1945),罗西,,author,author,"#B4B4B4",234,1180,0.2836,2,0.564356,0.614035,3053.930671
翁逸之(1945),翁逸之,,author,author,"#B4B4B4",187,1368,0.480536,2,0.550134,0.591131,0
胡钊(1945),胡钊,,author,author,"#B4B4B4",221,1176,0.223283,2,0.56035,0.6077,2368.605828
茅盾(1945),茅盾,,author,author,"#B4B4B4",453,1809,0.740342,2,0.641651,0.72076,10684.228349
萧萧(1945),萧萧,,author,author,"#B4B4B4",128,696,0.207667,2,0.533264,0.562378,0
许若明(1945),许若明,,author,author,"#B4B4B4",187,1368,0.480536,2,0.550134,0.591131,0
邵翰齐(1945),邵翰齐,,author,author,"#B4B4B4",187,1368,0.480536,2,0.550134,0.591131,0
陈正飞(1945),陈正飞,,author,author,"#B4B4B4",37,220,0.018897,3,0.450197,0.475146,0
陶大镛(1945),陶大镛,,author,author,"#B4B4B4",92,756,0.070194,3,0.472593,0.510559,0
高尔基(1945),高尔基,,author,author,"#B4B4B4",140,1036,0.15466,3,0.506917,0.550032,0
丁聪(1945),丁聪,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
丘斌存(1945),丘斌存,,author,author,"#B4B4B4",190,1023,0.389869,3,0.532434,0.582034,0
严景耀(1945),严景耀,,author,author,"#B4B4B4",104,582,0.132534,3,0.490674,0.527453,0
乔木(1945),乔木,,author,author,"#B4B4B4",128,525,0.207667,2,0.533264,0.562378,0
于友(1945),于友,,author,author,"#B4B4B4",128,525,0.207667,2,0.533264,0.562378,0
勃拉尼克(1945),勃拉尼克,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
叶靑(1945),叶靑,,author,author,"#B4B4B4",190,1023,0.389869,3,0.532434,0.582034,0
周新民(1945),周新民,,author,author,"#B4B4B4",133,741,0.1612,2,0.534653,0.564815,0
唐言(1945),唐言,,author,author,"#B4B4B4",37,168,0.018897,3,0.450197,0.475146,0
子冈(1945),子冈,,author,author,"#B4B4B4",133,741,0.1612,2,0.534653,0.564815,0
守仁(1945),守仁,,author,author,"#B4B4B4",190,1023,0.389869,3,0.532434,0.582034,0
巴斯金(1945),巴斯金,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
师陀(1945),师陀,,author,author,"#B4B4B4",273,1225,0.553906,2,0.576728,0.633041,1079.9713
库尔干诺夫(1945),库尔干诺夫,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
张大任(1945),张大任,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
愚公(1945),愚公,,author,author,"#B4B4B4",97,435,0.137805,2,0.524808,0.547271,0
戚礼朴(1945),戚礼朴,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
晓歌(1945),晓歌,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
曾昭抡(1945),曾昭抡,,author,author,"#B4B4B4",222,888,0.273333,2,0.560656,0.608187,1005.841694
李兆安(1945),李兆安,,author,author,"#B4B4B4",104,582,0.132534,3,0.490674,0.527453,0
杨槐(1945),杨槐,,author,author,"#B4B4B4",190,1023,0.389869,3,0.532434,0.582034,0
查斯拉夫斯基(1945),查斯拉夫斯基,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
柯马洛夫(1945),柯马洛夫,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
柳亚子(1945),柳亚子,,author,author,"#B4B4B4",699,2348,1,2,0.758315,0.840643,54192.361831
楚图南(1945),楚图南,,author,author,"#B4B4B4",251,918,0.343181,2,0.569684,0.62232,1130.999913
毅生(1945),毅生,,author,author,"#B4B4B4",44,186,0.026902,3,0.426789,0.457115,0
求思(1945),求思,,author,author,"#B4B4B4",104,582,0.132534,3,0.490674,0.527453,0
沈志远(1945),沈志远,,author,author,"#B4B4B4",394,1378,0.697124,2,0.618818,0.692008,5487.499473
洪深(1945),洪深,,author,author,"#B4B4B4",128,525,0.207667,2,0.533264,0.562378,0
源天(1945),源天,,author,author,"#B4B4B4",128,525,0.207667,2,0.533264,0.562378,0
潮声(1945),潮声,,author,author,"#B4B4B4",92,570,0.070194,3,0.472593,0.510559,0
爱伦堡(1945),爱伦堡,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
王少燕(1945),王少燕,,author,author,"#B4B4B4",97,435,0.137805,2,0.524808,0.547271,0
祝世康(1945),祝世康,,author,author,"#B4B4B4",128,360,0.085783,3,0.511976,0.549383,2234.906803
秋斯(1945),秋斯,,author,author,"#B4B4B4",104,582,0.132534,3,0.490674,0.527453,0
粟显运(1945),粟显运,,author,author,"#B4B4B4",190,1023,0.389869,3,0.532434,0.582034,0
绀弩(1945),绀弩,,author,author,"#B4B4B4",229,721,0.325639,2,0.562809,0.611598,3046.175968
罗加正(1945),罗加正,,author,author,"#B4B4B4",44,186,0.026902,3,0.426789,0.457115,0
罗曼(1945),罗曼,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
罗涵先(1945),罗涵先,,author,author,"#B4B4B4",97,435,0.137805,2,0.524808,0.547271,0
肥遯(1945),肥遯,,author,author,"#B4B4B4",97,435,0.137805,2,0.524808,0.547271,0
胡毅(1945),胡毅,,author,author,"#B4B4B4",133,741,0.1612,2,0.534653,0.564815,0
若愚(1945),若愚,,author,author,"#B4B4B4",97,435,0.137805,2,0.524808,0.547271,0
范华农(1945),范华农,,author,author,"#B4B4B4",97,435,0.137805,2,0.524808,0.547271,0
荒烟(1945),荒烟,,author,author,"#B4B4B4",128,525,0.207667,2,0.533264,0.562378,0
莫斯(1945),莫斯,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
葛洛斯曼(1945),葛洛斯曼,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
西蒙诺夫(1945),西蒙诺夫,,author,author,"#B4B4B4",140,780,0.15466,3,0.506917,0.550032,0
迈之(1945),迈之,,author,author,"#B4B4B4",133,741,0.1612,2,0.534653,0.564815,0
郭绍虞(1945),郭绍虞,,author,author,"#B4B4B4",273,927,0.553906,2,0.576728,0.633041,1079.9713
问梁(1945),问梁,,author,author,"#B4B4B4",92,570,0.070194,3,0.472593,0.510559,0
静远(1945),静远,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
顾均正(1945),顾均正,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
马丁(1945),马丁,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
高克奇(1945),高克奇,,author,author,"#B4B4B4",97,435,0.137805,2,0.524808,0.547271,0
黄巨兴(1945),黄巨兴,,author,author,"#B4B4B4",133,741,0.1612,2,0.534653,0.564815,0
黄洛(1945),黄洛,,author,author,"#B4B4B4",190,1023,0.389869,3,0.532434,0.582034,0
黄茅(1945),黄茅,,author,author,"#B4B4B4",128,525,0.207667,2,0.533264,0.562378,0
黄裳(1945),黄裳,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
一民(1945),一民,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
上官青(1945),上官青,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
严景曜(1945),严景曜,,author,author,"#B4B4B4",104,390,0.132534,3,0.490674,0.527453,0
于彦胜(1945),于彦胜,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
亚槐(1945),亚槐,,author,author,"#B4B4B4",104,390,0.132534,3,0.490674,0.527453,0
伊巴鲁里(1945),伊巴鲁里,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
元璧(1945),元璧,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
光年(1945),光年,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
克年席夫(1945),克年席夫,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
其良(1945),其良,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
农慕之(1945),农慕之,,author,author,"#B4B4B4",251,673,0.343181,2,0.569684,0.62232,1130.999913
冬予里(1945),冬予里,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
冯玉祥(1945),冯玉祥,,author,author,"#B4B4B4",459,1178,0.944673,2,0.644068,0.723684,25964.141109
凤子(1945),凤子,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
刘逸(1945),刘逸,,author,author,"#B4B4B4",44,126,0.026902,3,0.426789,0.457115,0
刘铁华(1945),刘铁华,,author,author,"#B4B4B4",273,1078,0.553906,2,0.576728,0.633041,1079.9713
力扬(1945),力扬,,author,author,"#B4B4B4",271,835,0.567913,2,0.576081,0.632066,910.968777
千里(1945),千里,,author,author,"#B4B4B4",92,382,0.070194,3,0.472593,0.510559,0
华心(1945),华心,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
华阳(1945),华阳,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
卢蕻(1945),卢蕻,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
史米尔诺夫(1945),史米尔诺夫,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
史迁宾(1945),史迁宾,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
叶圣陶(1945),叶圣陶,,author,author,"#B4B4B4",454,1208,0.763569,2,0.642053,0.721248,8050.965535
吴斐丹(1945),吴斐丹,,author,author,"#B4B4B4",92,382,0.070194,3,0.472593,0.510559,0
吴清友(1945),吴清友,,author,author,"#B4B4B4",184,529,0.193208,2,0.549251,0.589669,1469.845735
吴约翰(1945),吴约翰,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
吴铁城(1945),吴铁城,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
周予同(1945),周予同,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
周伯棣(1945),周伯棣,,author,author,"#B4B4B4",92,382,0.070194,3,0.472593,0.510559,0
周敦礼(1945),周敦礼,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
周谷城(1945),周谷城,,author,author,"#B4B4B4",37,114,0.018897,3,0.450197,0.475146,0
嘉喜善(1945),嘉喜善,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
夏衍(1945),夏衍,,author,author,"#B4B4B4",300,865,0.631414,2,0.585616,0.646199,1076.858937
外卢(1945),外卢,,author,author,"#B4B4B4",37,114,0.018897,3,0.450197,0.475146,0
夷初(1945),夷初,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
奥勃拉齐卓夫(1945),奥勃拉齐卓夫,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
奴齐(1945),奴齐,,author,author,"#B4B4B4",104,390,0.132534,3,0.490674,0.527453,0
娄立齐(1945),娄立齐,,author,author,"#B4B4B4",104,390,0.132534,3,0.490674,0.527453,0
子叶(1945),子叶,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
子敬(1945),子敬,,author,author,"#B4B4B4",44,126,0.026902,3,0.426789,0.457115,0
孙科(1945),孙科,,author,author,"#B4B4B4",329,1206,0.536746,3,0.583618,0.654646,13459.79756
孟心坚(1945),孟心坚,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
宁墨公(1945),宁墨公,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
宋孟桃(1945),宋孟桃,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
宾符(1945),宾符,,author,author,"#B4B4B4",104,390,0.132534,3,0.490674,0.527453,0
尚丁(1945),尚丁,,author,author,"#B4B4B4",92,382,0.070194,3,0.472593,0.510559,0
居正(1945),居正,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
屠西(1945),屠西,,author,author,"#B4B4B4",271,637,0.567913,2,0.576081,0.632066,910.968777
巴金(1945),巴金,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
张勉(1945),张勉,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
张子毅(1945),张子毅,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
张澜(1945),张澜,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
张申府(1945),张申府,,author,author,"#B4B4B4",326,900,0.356422,2,0.594438,0.658869,7800.729762
张若达(1945),张若达,,author,author,"#B4B4B4",300,865,0.631414,2,0.585616,0.646199,1076.858937
徐植(1945),徐植,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
拾风(1945),拾风,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
施坦因(1945),施坦因,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
曹刚(1945),曹刚,,author,author,"#B4B4B4",316,841,0.622988,2,0.591014,0.653996,3715.760014
曹萝阳(1945),曹萝阳,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
李公樸(1945),李公樸,,author,author,"#B4B4B4",205,644,0.294717,2,0.555495,0.599903,352.735125
李凌飞(1945),李凌飞,,author,author,"#B4B4B4",92,382,0.070194,3,0.472593,0.510559,0
李及(1945),李及,,author,author,"#B4B4B4",97,292,0.137805,2,0.524808,0.547271,0
李战林(1945),李战林,,author,author,"#B4B4B4",44,126,0.026902,3,0.426789,0.457115,0
李玄伯(1945),李玄伯,,author,author,"#B4B4B4",273,735,0.553906,2,0.576728,0.633041,1079.9713
李鼎芳(1945),李鼎芳,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
杨保民(1945),杨保民,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
杨先义(1945),杨先义,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
杨刚(1945),杨刚,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
林植(1945),林植,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
柏寒(1945),柏寒,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
柳诒(1945),柳诒,,author,author,"#B4B4B4",44,126,0.026902,3,0.426789,0.457115,0
梁漱溟(1945),梁漱溟,,author,author,"#B4B4B4",97,292,0.137805,2,0.524808,0.547271,0
毕尔伏玛依斯基(1945),毕尔伏玛依斯基,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
沈涛(1945),沈涛,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
沙柯(1945),沙柯,,author,author,"#B4B4B4",128,352,0.207667,2,0.533264,0.562378,0
沙清泉(1945),沙清泉,,author,author,"#B4B4B4",128,352,0.207667,2,0.533264,0.562378,0
波克希雪夫斯基(1945),波克希雪夫斯基,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
波列伏伊(1945),波列伏伊,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
洛扬(1945),洛扬,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
熊佛西(1945),熊佛西,,author,author,"#B4B4B4",128,352,0.207667,2,0.533264,0.562378,0
燕士(1945),燕士,,author,author,"#B4B4B4",97,292,0.137805,2,0.524808,0.547271,0
王以中(1945),王以中,,author,author,"#B4B4B4",104,390,0.132534,3,0.490674,0.527453,0
王伯祥(1945),王伯祥,,author,author,"#B4B4B4",273,884,0.553906,2,0.576728,0.633041,1079.9713
王沿津(1945),王沿津,,author,author,"#B4B4B4",92,382,0.070194,3,0.472593,0.510559,0
王良嘉(1945),王良嘉,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
王铁华(1945),王铁华,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
田汉(1945),田汉,,author,author,"#B4B4B4",128,352,0.207667,2,0.533264,0.562378,0
秦牧(1945),秦牧,,author,author,"#B4B4B4",128,352,0.207667,2,0.533264,0.562378,0
端木泉(1945),端木泉,,author,author,"#B4B4B4",104,390,0.132534,3,0.490674,0.527453,0
米尔尼柯夫(1945),米尔尼柯夫,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
维希聂夫斯基(1945),维希聂夫斯基,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
胡剑(1945),胡剑,,author,author,"#B4B4B4",234,692,0.2836,2,0.564356,0.614035,3053.930671
胡秋原(1945),胡秋原,,author,author,"#B4B4B4",190,684,0.389869,3,0.532434,0.582034,0
臧克家(1945),臧克家,,author,author,"#B4B4B4",128,352,0.207667,2,0.533264,0.562378,0
艾秋飙(1945),艾秋飙,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
苏尔(1945),苏尔,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
苏尔齐伯格(1945),苏尔齐伯格,,author,author,"#B4B4B4",44,126,0.026902,3,0.426789,0.457115,0
范蕙(1945),范蕙,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
萧明(1945),萧明,,author,author,"#B4B4B4",97,292,0.137805,2,0.524808,0.547271,0
葛罗宾(1945),葛罗宾,,author,author,"#B4B4B4",140,522,0.15466,3,0.506917,0.550032,0
葭水(1945),葭水,,author,author,"#B4B4B4",187,688,0.480536,2,0.550134,0.591131,0
袁水拍(1945),袁水拍,,author,author,"#B4B4B4",128,352,0.207667,2,0.533264,0.562378,0
袁西华(1945),袁西华,,author,author,"#B4B4B4",133,496,0.1612,2,0.534653,0.564815,0
